story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,dress_type,top_style_type,jacket_type,distress,fade,dungaree_bottom_type,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,colour_intensity,color_family
,,Choco Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chocolate Torte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cinnamon Swirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Circular Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Citrus Canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Classic Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Clear Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cloud Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cobalt Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coconut Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Confetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cool Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Copper Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coral Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coral Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cordovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cornflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cotton Candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cranberry Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cranberry Milkshake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cranberry Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Diagonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
